overlap D1 GL vs D8 WT
54
60
485
543
603
1110
1125
1299
1302
1648
1651
1827
2137
2372
2849
2856
15442
15990
19324
27728
32360
33487
35114
35133
35157
35433
35660
37112
37455
41370
41374
41375
42027
42450
43386
46148
48149
52235
52447
52475
52477
52987
57746
62924
63009
64328
64571
