Term, -log10(padj),Gene Count
molecular_function,8.578222499,392
binding,5.276925946,277
catalytic activity,2.27978127,182
organic cyclic compound binding,2.007853123,174
heterocyclic compound binding,2.007853123,174
ion binding,1.741389029,147
small molecule binding,1.558855178,128
anion binding,1.302322648,115
