overlap Day 1 Gl vs Day 8 WT
60
485
603
1110
1125
1302
1651
1827
2137
2372
2849
2856
15442
15990
19324
32360
35433
35660
37455
41370
41374
41375
42027
42450
46148
47908
48149
52235
52447
52475
52477
52987
61531
63009
63086
63098
64328
