"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"aap-1",10.2339698768149,-0.281623168027417,0.614262167083127,-0.45847389456643,0.646612013504823,0.874476209225239
"aat-1",41.830361753432,0.364519102292017,0.579315998570088,0.629223261901537,0.529202901834469,0.822010297362494
"aat-2",35.208037731718,0.424134497486118,0.526078280854211,0.806219364915497,0.42011637483364,0.76589235902266
"aat-3",136.553910702722,1.33444742313299,0.552321158662968,2.41607152324809,0.0156889792296116,0.333611203924296
"aat-4",17.5030711949455,-0.661680500653626,0.62301781819412,-1.06205710547986,0.288209761524831,0.6914003832169
"aat-5",2.56255536529231,1.18931275967889,1.27217095664403,0.934868661690155,0.349855989128567,NA
"aat-6",21.8575239237792,0.215727290240832,0.766467628905503,0.281456492231623,0.778360293939156,0.924640997940422
"aat-7",4.0038050908361,0.987774477751206,1.1023119370008,0.896093423825898,0.37020286900879,NA
"aat-8",1.53579820185782,2.53677048841756,1.46513673374176,1.73142235123611,0.0833764629797968,NA
"aat-9",18.9125416883481,-0.492278263260779,0.477607506257535,-1.0307171826469,0.302673464645012,0.700145174678172
"abf-1",8.02035953258311,0.672395483776617,0.766256609517077,0.877506928390981,0.380211357298103,0.745971914594129
"abf-2",50.3541936398163,-0.0621602826862862,0.811093132215145,-0.0766376636879203,0.938911795757678,0.979527921371131
"abf-3",2.70891749111849,-0.512549145938741,1.42146683273109,-0.360577633003207,0.718415212286326,NA
"abf-4",1.84289612529809,-0.391411755898734,1.63317038933241,-0.239663759798346,0.810590931694957,NA
"abf-5",5.31914346828862,-1.18897815876055,1.02449009335433,-1.1605560331654,0.245822494220774,NA
"abf-6",5.59745738368989,-1.46413707644125,0.978406841260026,-1.49645016234319,0.134536385970766,NA
"abl-1",140.013480544513,0.278158711636204,0.578204994458482,0.481072827633932,0.630464739319964,0.866985660880254
"abt-1",7.15163095185238,-0.528933632521205,0.845277209259361,-0.625751678534739,0.531477830899771,0.822958345989433
"abt-2",70.2329697114621,0.262065980458802,0.430059636460244,0.609371255149234,0.542278386468959,0.828525664394139
"abt-3",0.515042818168686,-1.24464081396476,3.63669296565524,-0.342245228211204,0.732166350835368,NA
"abt-4",24.1590693408826,-0.729671749736453,0.669036574232083,-1.09063058409619,0.275435466261187,0.683764870688469
"abt-5",13.8991163849926,1.84318540603504,0.709700206583185,2.59713240737094,0.00940056791231403,0.30619308614156
"abu-1",0.720605253536785,-1.97093372255021,2.8832890450337,-0.683571328356772,0.494245894831019,NA
"abu-2",3.05501827052397,0.905603294966227,1.55227080050024,0.583405482261459,0.559620368122217,NA
"abu-3",1.14782298847073,-2.24729127707503,2.11131472368422,-1.06440373472768,0.287145842642061,NA
"abu-4",0.771247550600577,-1.09586566883601,3.23235346337815,-0.339030270436672,0.734586926651074,NA
