Term, -log10(qvalue),Gene Count
Male,52.60206,148
Germ line,18.04096,167
Reproductive system,12.79588,178
VA neuron,1.958607,40
AVK,1.744727,36
AVA,1.638272,26
Somatic nervous system,1.431798,105
DA neuron,1.366532,39
I5 neuron,1.366532,27
RIM,1.309804,16
