Term, -log10(qvalue),Gene Count
structural constituent of cytoskeleton,2.721246399,14
extracellular region,2.107905397,24
pole plasm,1.958607315,13
supramolecular polymer,1.958607315,32
external encapsulating structure organization,1.769551079,6
extracellular structure organization,1.769551079,6
spindle localization,1.455931956,7
ribonucleoprotein granule,1.318758763,13
ATP-dependent activity acting on RNA ,1.30980392,8
external encapsulating structure,1.30980392,8
